,code,market,name,w_highest,w_lowest,d_widest,d_indicate,average,index1,index2,index3,index4
31,1357-T,東証,NEXT FUNDS 日経平均ダブルインバース・インデックス連動型上場投信,2999.0,2608.0,208.0,5790.0,2718.8,0.0765043401500662,0.03592400690846287,0.14381344710901867,0.0697342607454967
32,1358-T,東証,上場インデックスファンド日経レバレッジ指数,17100.0,15720.0,410.0,34150.0,16710.0,0.024536205864751647,0.012005856515373352,0.08258527827648116,0.04204753199268738
33,1360-T,東証,日経平均ベア2倍上場投信,7150.0,6210.0,510.0,13790.0,6474.0,0.07877664504170528,0.03698332124728064,0.14519616929255483,0.07035928143712575
34,1361-T,東証,iシェアーズ 米国ハイイールド債券ETF（iBoxxドル建てLHYC）,13260.0,12810.0,140.0,26460.0,13082.0,0.01070172756459257,0.005291005291005291,0.034398410029047546,0.01726121979286536
35,1362-T,東証,iシェアーズ 新興国債券ETF（バークレイズLocal EM国債コア）,8570.0,8210.0,90.0,17110.0,8452.0,0.010648367250354946,0.005260081823495032,0.04259346900141978,0.021454112038140644
36,1363-T,東証,iシェアーズ 米国債ETF（バークレイズ米10年国債）,24120.0,23700.0,220.0,48190.0,23958.0,0.009182736455463728,0.004565262502593899,0.017530678687703482,0.00878293601003764
37,1364-T,東証,iシェアーズ JPX日経400 ETF,15080.0,13950.0,420.0,30160.0,14734.0,0.02850549748880141,0.013925729442970823,0.07669336229129904,0.03892524974164657
38,1365-T,東証,ダイワ上場投信-日経平均レバレッジ・インデックス,13860.0,11940.0,730.0,27700.0,13268.0,0.05501959602050045,0.02635379061371841,0.1447090744648779,0.07441860465116279
39,1366-T,東証,ダイワ上場投信-日経平均ダブルインバース・インデックス,7780.0,6770.0,540.0,15020.0,7052.0,0.07657402155416904,0.03595206391478029,0.14322178105501984,0.06941580756013746
40,1367-T,東証,ダイワ上場投信-TOPIXレバレッジ（2倍）指数,13910.0,11780.0,770.0,27780.0,13240.0,0.0581570996978852,0.02771778257739381,0.1608761329305136,0.08291163876994939
41,1368-T,東証,ダイワ上場投信-TOPIXダブルインバース（-2倍）指数,7950.0,6810.0,510.0,15390.0,7136.0,0.07146860986547085,0.03313840155945419,0.15975336322869954,0.07723577235772358
42,1369-T,東証,DIAM ETF 日経225,20670.0,19150.0,500.0,41340.0,20150.0,0.02481389578163772,0.012094823415578132,0.07543424317617867,0.03817177297840281
43,1376-T,JQスタンダード,カネコ種苗,1220.0,1000.0,29.0,2431.0,1194.4,0.024279973208305425,0.01192924722336487,0.1841929002009377,0.0990990990990991
44,1377-T,東証1部,サカタのタネ,2351.0,2142.0,67.0,4665.0,2275.8,0.029440196853853587,0.014362272240085745,0.09183583794709552,0.04651680391720454
45,1379-T,東証1部,ホクト,2513.0,2320.0,69.0,5006.0,2426.0,0.028441879637262985,0.013783459848182182,0.07955482275350372,0.03993378853714049
46,1381-T,JQスタンダード,アクシーズ,2640.0,2143.0,190.0,5278.0,2506.2,0.07581198627404039,0.03599848427434634,0.19830819567472668,0.10390968011708134
47,1383-T,JQスタンダード,ベルグアース,1570.0,1270.0,39.0,3110.0,1508.2,0.025858639437740354,0.012540192926045015,0.19891261105954117,0.1056338028169014
48,1384-T,東証2部,ホクリヨウ,692.0,566.0,17.0,1384.0,602.8,0.028201725282017254,0.012283236994219654,0.20902455209024554,0.10015898251192369
49,1385-T,東証,UBS ETF ユーロ圏大型株50（ユーロ・ストックス50）,4950.0,4560.0,170.0,9810.0,4756.0,0.03574432296047098,0.017329255861365953,0.08200168208578637,0.04100946372239748
50,1386-T,東証,UBS ETF 欧州株（MSCIヨーロッパ）,9650.0,8450.0,580.0,18720.0,8772.0,0.06611947104423165,0.030982905982905984,0.13679890560875513,0.06629834254143646
51,1387-T,東証,UBS ETF 欧州通貨圏株（MSCI EMU）,16610.0,15200.0,690.0,32890.0,15684.0,0.04399387911247131,0.02097902097902098,0.08990053557765876,0.044325683747249295
